yyyy-mm-dd hh:mm:ss.mmmmmm,x [dps],y [dps],z [dps]
2021-09-12 09:17:57.830593,-1.480,-0.137,-1.022
2021-09-12 09:17:57.930927,-1.190, 0.244,-0.992
2021-09-12 09:17:58.031138,-1.526, 0.282,-1.274
2021-09-12 09:17:58.131333,-1.343, 0.336,-0.900
2021-09-12 09:17:58.231526,-1.541, 0.122,-0.816
2021-09-12 09:17:58.331725,-1.381, 0.252,-0.900
2021-09-12 09:17:58.431942,-1.427, 0.229,-0.999
2021-09-12 09:17:58.532128,-1.541, 0.313,-1.106
2021-09-12 09:17:58.632314,-1.740, 0.443,-0.938
2021-09-12 09:17:58.732487,-1.312, 0.191,-1.015
2021-09-12 09:17:58.832678,-1.305, 0.328,-1.060
2021-09-12 09:17:58.932868,-1.221,-0.069,-0.816
2021-09-12 09:17:59.033051,-1.373, 1.945,-0.763
2021-09-12 09:17:59.133237,-1.389, 0.031,-1.083
2021-09-12 09:17:59.233428,-1.350, 0.099,-1.144
2021-09-12 09:17:59.333617,-1.396, 0.206,-1.007
2021-09-12 09:17:59.433834,-1.396, 0.267,-0.938
2021-09-12 09:17:59.534034,-1.495, 0.496,-0.748
2021-09-12 09:17:59.634240,-1.389, 0.389,-1.015
2021-09-12 09:17:59.734447,-1.373, 0.259,-1.152
2021-09-12 09:17:59.834651,-1.297, 0.076,-1.297
2021-09-12 09:17:59.934847,-1.259, 0.198,-1.274
2021-09-12 09:18:00.035054,-1.312, 0.099,-0.755
2021-09-12 09:18:00.135257,-1.419, 0.183,-0.885
2021-09-12 09:18:00.235475,-1.228, 0.145,-0.862
2021-09-12 09:18:00.335688,-1.099, 0.175,-1.114
2021-09-12 09:18:00.435898,-1.465, 0.351,-0.931
2021-09-12 09:18:00.536101,-1.305, 0.084,-1.144
2021-09-12 09:18:00.636305,-1.312, 0.122,-1.190
2021-09-12 09:18:00.736503,-1.640, 0.183,-1.068
2021-09-12 09:18:00.836729,-1.556, 0.298,-1.183
2021-09-12 09:18:00.936950,-1.205, 0.412,-0.816
2021-09-12 09:18:01.037306,-1.068, 0.221,-1.060
2021-09-12 09:18:01.137610,-1.404, 0.023,-0.938
2021-09-12 09:18:01.237906,-1.381, 0.374,-1.053
2021-09-12 09:18:01.338131,-1.228, 0.259,-0.938
2021-09-12 09:18:01.438347,-1.305, 0.320,-0.710
2021-09-12 09:18:01.538556,-1.190, 0.381,-1.068
2021-09-12 09:18:01.638764,-1.556, 0.252,-0.938
2021-09-12 09:18:01.738969,-1.480, 0.374,-0.671
2021-09-12 09:18:01.839190,-1.228, 0.359,-1.114
2021-09-12 09:18:01.939414,-1.534, 0.389,-0.992
2021-09-12 09:18:02.039623,-1.358, 0.298,-0.702
2021-09-12 09:18:02.139836,-1.091, 0.648,-0.854
2021-09-12 09:18:02.240040,-1.228, 0.320,-1.381
2021-09-12 09:18:02.340257,-1.411, 0.267,-0.900
2021-09-12 09:18:02.440510,-1.389, 0.374,-0.862
2021-09-12 09:18:02.540717,-1.350, 0.191,-1.038
2021-09-12 09:18:02.640922,-1.396, 0.191,-0.893
2021-09-12 09:18:02.741131,-1.335, 0.336,-0.992
2021-09-12 09:18:02.841335,-1.228, 0.305,-1.160
2021-09-12 09:18:02.941541,-1.450, 0.313,-1.175
2021-09-12 09:18:03.041745,-1.503, 1.945,-1.030
2021-09-12 09:18:03.142015,-1.350, 0.114,-0.832
2021-09-12 09:18:03.242299,-1.396, 0.389,-0.839
2021-09-12 09:18:03.342523,-1.228,-0.275,-0.809
2021-09-12 09:18:03.442732,-1.358, 0.206,-0.786
2021-09-12 09:18:03.542934,-1.534, 0.427,-0.702
2021-09-12 09:18:03.643132,-1.274, 0.252,-0.961
2021-09-12 09:18:03.743328,-1.511, 0.137,-1.205
2021-09-12 09:18:03.843561,-1.190, 0.076,-1.144
