yyyy-mm-dd hh:mm:ss.mmmmmm,x [g],y [g],z [g]
2021-09-14 06:08:37.278465, 0.005, 0.081, 0.999
2021-09-14 06:08:37.378669, 0.005, 0.083, 0.996
2021-09-14 06:08:37.478897, 0.005, 0.080, 0.993
2021-09-14 06:08:37.579107, 0.004, 0.081, 0.992
2021-09-14 06:08:37.679313, 0.005, 0.084, 0.993
2021-09-14 06:08:37.779521, 0.009, 0.078, 0.996
2021-09-14 06:08:37.879720, 0.008, 0.092, 0.995
2021-09-14 06:08:37.979937, 0.004, 0.080, 0.996
2021-09-14 06:08:38.080169, 0.006, 0.079, 1.002
2021-09-14 06:08:38.180383, 0.007, 0.080, 1.015
2021-09-14 06:08:38.280583, 0.006, 0.081, 0.999
2021-09-14 06:08:38.380788, 0.004, 0.074, 0.995
2021-09-14 06:08:38.480992, 0.008, 0.083, 1.000
2021-09-14 06:08:38.581384, 0.007, 0.081, 1.000
2021-09-14 06:08:38.681714, 0.000, 0.075, 1.006
2021-09-14 06:08:38.781916, 0.004, 0.064, 1.003
2021-09-14 06:08:38.882094, 0.007, 0.092, 1.000
2021-09-14 06:08:38.982296, 0.004, 0.078, 0.995
2021-09-14 06:08:39.082485, 0.007, 0.082, 0.997
2021-09-14 06:08:39.182654, 0.007, 0.077, 1.001
2021-09-14 06:08:39.282824, 0.005, 0.082, 0.997
2021-09-14 06:08:39.382994, 0.005, 0.078, 1.013
2021-09-14 06:08:39.483150, 0.008, 0.078, 1.004
2021-09-14 06:08:39.583331, 0.008, 0.074, 1.002
2021-09-14 06:08:39.683531, 0.004, 0.082, 0.997
2021-09-14 06:08:39.783785, 0.004, 0.080, 0.999
2021-09-14 06:08:39.884099, 0.006, 0.082, 0.994
2021-09-14 06:08:39.984310, 0.005, 0.082, 1.004
2021-09-14 06:08:40.084581, 0.005, 0.080, 1.003
2021-09-14 06:08:40.184797, 0.007, 0.079, 0.999
2021-09-14 06:08:40.285002, 0.004, 0.081, 0.997
2021-09-14 06:08:40.385241, 0.007, 0.078, 0.997
2021-09-14 06:08:40.485468, 0.007, 0.079, 0.997
2021-09-14 06:08:40.585675, 0.008, 0.082, 1.010
2021-09-14 06:08:40.685893, 0.006, 0.080, 1.005
2021-09-14 06:08:40.786142, 0.007, 0.079, 0.991
2021-09-14 06:08:40.886367, 0.006, 0.078, 0.996
2021-09-14 06:08:40.986608, 0.005, 0.080, 0.996
2021-09-14 06:08:41.086837, 0.000, 0.079, 0.995
2021-09-14 06:08:41.187050, 0.005, 0.082, 0.995
2021-09-14 06:08:41.287255, 0.005, 0.078, 0.998
2021-09-14 06:08:41.387459, 0.006, 0.077, 0.999
2021-09-14 06:08:41.487664, 0.003, 0.094, 1.012
2021-09-14 06:08:41.587898, 0.002, 0.080, 0.997
2021-09-14 06:08:41.688129, 0.005, 0.078, 0.994
2021-09-14 06:08:41.788369, 0.004, 0.082, 1.002
2021-09-14 06:08:41.888586, 0.005, 0.080, 1.002
2021-09-14 06:08:41.988789, 0.006, 0.078, 0.985
2021-09-14 06:08:42.088995, 0.004, 0.078, 0.999
2021-09-14 06:08:42.189202, 0.006, 0.068, 0.999
2021-09-14 06:08:42.289425, 0.003, 0.076, 0.999
2021-09-14 06:08:42.389630, 0.005, 0.081, 0.997
2021-09-14 06:08:42.489831, 0.005, 0.074, 0.994
2021-09-14 06:08:42.590033, 0.003, 0.080, 1.007
2021-09-14 06:08:42.690243, 0.005, 0.082, 1.005
2021-09-14 06:08:42.790466, 0.005, 0.081, 0.998
2021-09-14 06:08:42.890689, 0.007, 0.080, 0.987
2021-09-14 06:08:42.991014, 0.010, 0.080, 1.002
2021-09-14 06:08:43.091304, 0.009, 0.081, 1.001
2021-09-14 06:08:43.191514, 0.006, 0.077, 1.000
2021-09-14 06:08:43.291713, 0.008, 0.080, 1.003
2021-09-14 06:08:43.391910, 0.004, 0.082, 0.997
2021-09-14 06:08:43.492127, 0.005, 0.075, 1.002
2021-09-14 06:08:43.592350, 0.007, 0.079, 1.002
2021-09-14 06:08:43.692531, 0.006, 0.079, 0.996
2021-09-14 06:08:43.792894, 0.007, 0.079, 0.999
2021-09-14 06:08:43.893130, 0.008, 0.081, 0.997
2021-09-14 06:08:43.993360, 0.006, 0.078, 0.987
2021-09-14 06:08:44.093559, 0.005, 0.078, 1.001
2021-09-14 06:08:44.193712, 0.005, 0.079, 0.999
2021-09-14 06:08:44.293884, 0.005, 0.081, 0.987
2021-09-14 06:08:44.394078, 0.009, 0.076, 0.993
2021-09-14 06:08:44.494261, 0.004, 0.075, 1.002
2021-09-14 06:08:44.594426, 0.005, 0.083, 0.994
2021-09-14 06:08:44.694603, 0.008, 0.079, 1.004
2021-09-14 06:08:44.794818, 0.006, 0.081, 1.002
2021-09-14 06:08:44.895013, 0.006, 0.079, 0.997
2021-09-14 06:08:44.995167, 0.005, 0.080, 0.999
2021-09-14 06:08:45.095306, 0.007, 0.079, 0.995
2021-09-14 06:08:45.195445, 0.005, 0.080, 1.003
2021-09-14 06:08:45.295591, 0.007, 0.081, 1.002
2021-09-14 06:08:45.395750, 0.005, 0.079, 0.990
2021-09-14 06:08:45.495897, 0.006, 0.079, 0.992
2021-09-14 06:08:45.596054, 0.006, 0.081, 1.012
2021-09-14 06:08:45.696230, 0.005, 0.080, 1.003
2021-09-14 06:08:45.796430, 0.007, 0.081, 1.005
2021-09-14 06:08:45.896626, 0.006, 0.080, 1.001
2021-09-14 06:08:45.996803, 0.005, 0.081, 0.993
2021-09-14 06:08:46.096987, 0.006, 0.079, 0.995
2021-09-14 06:08:46.197167, 0.005, 0.081, 1.000
2021-09-14 06:08:46.297342, 0.005, 0.079, 0.996
2021-09-14 06:08:46.397518, 0.008, 0.081, 1.001
2021-09-14 06:08:46.497698, 0.009, 0.080, 1.003
2021-09-14 06:08:46.597909, 0.005, 0.076, 1.014
2021-09-14 06:08:46.698119, 0.007, 0.077, 0.993
2021-09-14 06:08:46.798340, 0.007, 0.080, 0.997
2021-09-14 06:08:46.898565, 0.005, 0.078, 0.995
2021-09-14 06:08:46.998909, 0.007, 0.079, 1.015
2021-09-14 06:08:47.099175, 0.003, 0.078, 1.002
2021-09-14 06:08:47.199450, 0.007, 0.079, 0.987
2021-09-14 06:08:47.299687, 0.004, 0.079, 0.998
2021-09-14 06:08:47.399892, 0.006, 0.078, 1.012
2021-09-14 06:08:47.500050, 0.009, 0.083, 0.998
2021-09-14 06:08:47.600207, 0.009, 0.080, 0.998
2021-09-14 06:08:47.700427, 0.006, 0.080, 0.996
2021-09-14 06:08:47.800624, 0.010, 0.085, 0.992
2021-09-14 06:08:47.900775, 0.008, 0.082, 1.003
2021-09-14 06:08:48.000913, 0.004, 0.080, 1.014
2021-09-14 06:08:48.101064, 0.005, 0.079, 1.000
2021-09-14 06:08:48.201236, 0.006, 0.093, 0.997
2021-09-14 06:08:48.301447, 0.009, 0.074, 0.999
2021-09-14 06:08:48.401644, 0.005, 0.084, 0.993
2021-09-14 06:08:48.501823, 0.007, 0.079, 0.999
2021-09-14 06:08:48.601999, 0.005, 0.081, 0.997
