delta_t,x [g],y [g],z [g],x [dps],y [dps],z [dps],x [uT],y [uT],z [uT]
4.438883304595947, 0.002,-0.009, 1.020, 0.295, 1.739, 0.069,-18.311, 4.578,14.018
4.459392786026001, 0.003,-0.000, 1.016,-0.117, 0.412,-0.259,-19.741, 2.003,11.443
4.479419469833374,-0.027,-0.022, 1.036, 0.211, 0.061, 0.145,-19.741, 2.003,14.304
4.499903917312622, 0.006, 0.032, 1.062, 7.092, 0.854,-3.601,-20.885, 1.431,10.871
4.520366191864014,-0.002, 0.034, 1.031, 1.607,-0.100,-10.727,-22.602, 4.864,12.587
4.540823936462402,-0.014,-0.022, 1.020,-0.056,-0.389,-5.356,-18.597, 3.147,12.587
4.561473846435547,-0.010,-0.023, 1.014,-0.163,-0.122,-2.647,-21.744,-0.287,10.585
4.581701755523682,-0.001,-0.008, 1.010, 0.127,-0.130,-2.289,-20.599, 2.289,13.446
4.6018524169921875,-0.002,-0.019, 1.037,-0.224,-0.092,-1.991,-18.883, 1.717,14.018
4.622388124465942,-0.002,-0.012, 1.012,-0.224,-0.008,-1.884,-18.311, 2.289,15.162
4.64274263381958, 0.005,-0.006, 1.012,-0.079,-0.267,-1.869,-19.455, 1.717,14.018
4.663568019866943,-0.002,-0.016, 1.019,-0.117,-2.091,-1.083,-21.172, 1.144,12.873
4.6836097240448,-0.001,-0.009, 1.011,-0.095, 0.114,-1.419,-19.169, 3.719,12.587
4.703647613525391,-0.003,-0.006, 1.010,-0.125, 0.160, 0.931,-18.024, 3.147,11.443
4.724064111709595,-0.002,-0.002, 1.017,-0.003,-0.115,-0.778,-19.741, 2.575,14.304
4.744533061981201, 0.002,-0.006, 1.002,-0.262, 0.053,-1.076,-19.169, 2.575,12.587
4.764580011367798,-0.003,-0.010, 1.026, 0.043, 0.045,-0.618,-19.741, 1.431,14.876
4.785050630569458, 0.004,-0.009, 1.010, 0.005,-0.039,-0.183,-18.311, 1.717,13.446
4.8055198192596436, 0.003,-0.006, 1.006,-0.079, 1.655,-0.252,-18.883, 1.717,12.301
4.825990915298462, 0.002,-0.005, 1.016,-0.041, 0.061,-0.473,-19.741, 3.147,12.587
4.846485614776611,-0.000,-0.008, 1.016, 0.104,-0.084,-0.236,-22.602, 2.575, 9.154
4.866655588150024, 0.000,-0.008, 1.018,-0.179, 1.648,-0.732,-19.169, 2.003,14.304
4.887869596481323,-0.001,-0.007, 1.026, 0.058,-0.077,-0.755,-18.311, 2.861,12.301
4.908057928085327,-0.003,-0.010, 1.017,-0.087, 0.053,-0.427,-22.602, 3.719,12.015
4.928146839141846,-0.001,-0.008, 1.011, 0.096, 0.023,-0.297,-20.313, 0.858, 9.154
4.94827938079834, 0.004,-0.002, 1.009,-0.194,-0.092,-0.870,-18.883, 1.717,14.018
4.968474864959717, 0.004,-0.002, 1.009,-0.346,-0.100,-0.633,-19.169, 0.858,12.015
