acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
-0.212,-0.015, 1.023,-0.180,-0.499,-0.102
-0.173,-0.028, 1.034,-0.172,-0.576,-0.063
-0.173,-0.028, 1.034,-0.188,-0.603, 0.010
-0.162,-0.007, 1.027,-0.202,-0.606, 0.077
-0.152,-0.010, 1.030,-0.208,-0.674, 0.120
-0.149,-0.019, 1.063,-0.188,-0.906, 0.137
-0.133,-0.016, 1.170,-0.098,-1.390, 0.138
-0.108, 0.010, 1.154,-0.181,-1.501, 0.208
-0.108, 0.010, 1.154,-0.264,-1.478, 0.217
-0.117, 0.036, 0.983,-0.310,-1.344, 0.163
-0.103,-0.018, 0.939,-0.336,-1.164, 0.127
-0.102,-0.053, 0.909,-0.330,-1.034, 0.164
-0.097,-0.003, 0.968,-0.289,-0.922, 0.195
-0.097,-0.003, 0.968,-0.245,-0.807, 0.195
-0.073,-0.004, 0.979,-0.206,-0.692, 0.197
-0.073,-0.004, 0.979,-0.167,-0.605, 0.187
-0.063,-0.015, 0.976,-0.137,-0.573, 0.168
-0.052, 0.002, 0.982,-0.111,-0.595, 0.160
-0.052, 0.002, 0.982,-0.083,-0.637, 0.148
-0.044, 0.017, 0.978,-0.069,-0.686, 0.138
-0.042, 0.023, 0.976,-0.080,-0.778, 0.139
