acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
-0.816, 0.389, 0.197,-0.067, 2.043,-0.024
-0.830, 0.330, 0.218,-0.288, 2.424, 0.107
-0.764, 0.352, 0.154,-0.593, 2.743, 0.240
-0.852, 0.217, 0.064,-0.832, 2.822, 0.329
-0.848, 0.218,-0.035,-0.974, 2.853, 0.351
-0.902, 0.204,-0.055,-1.011, 2.884, 0.332
-0.928, 0.187,-0.105,-0.938, 2.881, 0.267
-0.980, 0.228,-0.120,-0.773, 2.827, 0.189
-0.961, 0.254,-0.145,-0.593, 2.734, 0.114
-1.008, 0.277,-0.108,-0.343, 2.772, 0.050
-0.988, 0.194,-0.105,-0.060, 2.852, 0.028
-1.026, 0.144,-0.196, 0.063, 2.824, 0.175
-1.099, 0.141,-0.390, 0.117, 2.561, 0.377
-1.080, 0.189,-0.467, 0.045, 2.247, 0.496
-0.957, 0.264,-0.481,-0.034, 1.910, 0.437
-0.961, 0.265,-0.435,-0.002, 1.548, 0.350
-0.917, 0.309,-0.392, 0.009, 1.241, 0.157
-0.871, 0.297,-0.321, 0.055, 1.067, 0.006
-0.864, 0.263,-0.320, 0.097, 0.944,-0.108
-0.872, 0.222,-0.342, 0.150, 0.804,-0.187
-0.897, 0.233,-0.388, 0.195, 0.642,-0.193
-0.911, 0.234,-0.416, 0.241, 0.413,-0.229
-0.915, 0.223,-0.394, 0.321, 0.302,-0.195
-0.906, 0.225,-0.362, 0.417, 0.299,-0.174
-0.891, 0.233,-0.333, 0.499, 0.391,-0.165
-0.887, 0.235,-0.319, 0.567, 0.501,-0.166
-0.859, 0.247,-0.330, 0.603, 0.630,-0.192
-0.835, 0.243,-0.299, 0.562, 0.798,-0.231
-0.830, 0.238,-0.294, 0.450, 1.045,-0.278
-0.823, 0.216,-0.292, 0.352, 1.277,-0.315
-0.811, 0.275,-0.366, 0.273, 1.399,-0.370
-0.850, 0.192,-0.400, 0.293, 1.394,-0.346
-0.803, 0.254,-0.408, 0.244, 1.340,-0.354
-0.858, 0.236,-0.406, 0.255, 1.373,-0.308
-0.819, 0.272,-0.408, 0.242, 1.470,-0.303
-0.784, 0.221,-0.416, 0.309, 1.605,-0.287
-0.836, 0.193,-0.459, 0.411, 1.656,-0.301
-0.862, 0.180,-0.527, 0.493, 1.629,-0.301
-0.882, 0.140,-0.563, 0.543, 1.594,-0.288
-0.904, 0.129,-0.579, 0.560, 1.546,-0.275
-0.897, 0.160,-0.583, 0.527, 1.508,-0.252
-0.875, 0.171,-0.605, 0.428, 1.517,-0.236
-0.840, 0.158,-0.623, 0.347, 1.532,-0.213
-0.809, 0.156,-0.622, 0.316, 1.562,-0.196
-0.776, 0.157,-0.602, 0.359, 1.583,-0.192
-0.753, 0.150,-0.600, 0.447, 1.563,-0.204
-0.730, 0.164,-0.597, 0.545, 1.552,-0.252
-0.733, 0.168,-0.598, 0.610, 1.552,-0.299
-0.722, 0.161,-0.616, 0.580, 1.585,-0.334
-0.747, 0.128,-0.673, 0.448, 1.593,-0.292
-0.761, 0.098,-0.724, 0.270, 1.570,-0.196
-0.785, 0.118,-0.736, 0.183, 1.582,-0.149
-0.741, 0.127,-0.743, 0.249, 1.649,-0.146
-0.721, 0.131,-0.750, 0.343, 1.718,-0.180
-0.694, 0.134,-0.745, 0.453, 1.791,-0.211
-0.639, 0.120,-0.711, 0.491, 1.923,-0.241
-0.617, 0.090,-0.737, 0.429, 2.012,-0.254
-0.600, 0.088,-0.733, 0.317, 2.142,-0.256
-0.593, 0.100,-0.725, 0.212, 2.231,-0.260
-0.591, 0.103,-0.744, 0.141, 2.277,-0.242
-0.571, 0.091,-0.781, 0.007, 2.268,-0.160
-0.552, 0.090,-0.795,-0.149, 2.249,-0.010
-0.532, 0.097,-0.798,-0.373, 2.255, 0.141
-0.492, 0.100,-0.815,-0.501, 2.278, 0.270
-0.501, 0.100,-0.882,-0.683, 2.199, 0.387
-0.496, 0.091,-0.970,-0.836, 2.007, 0.486
-0.595, 0.058,-0.939,-0.905, 1.918, 0.662
-0.465, 0.091,-0.846,-0.767, 2.012, 0.752
-0.460, 0.131,-0.864,-0.619, 2.047, 0.738
-0.399, 0.152,-0.868,-0.429, 2.006, 0.641
-0.374, 0.156,-0.924,-0.387, 1.850, 0.545
-0.370, 0.161,-0.932,-0.376, 1.729, 0.464
-0.411, 0.218,-0.887, 0.054, 1.632, 0.091
-0.328, 0.243,-0.884, 0.391, 1.707,-0.032
-0.293, 0.265,-0.893, 0.420, 1.830,-0.203
-0.288, 0.304,-0.896, 0.219, 1.954,-0.274
-0.297, 0.197,-0.965, 0.062, 1.983,-0.259
-0.298, 0.094,-1.034,-0.078, 1.867,-0.091
-0.289, 0.071,-1.103,-0.277, 1.499, 0.014
-0.270, 0.232,-1.106,-0.359, 1.036, 0.074
-0.268, 0.120,-1.082,-0.226, 0.506, 0.048
-0.262, 0.140,-1.055, 0.002, 0.033, 0.063
-0.254, 0.101,-1.036, 0.190,-0.232, 0.139
-0.235, 0.144,-0.994, 0.302,-0.354, 0.137
-0.165, 0.134,-0.692, 0.468, 0.089, 0.032
-0.064, 0.307,-0.823, 0.424, 0.675,-0.304
-0.140, 0.221,-0.943, 0.189, 0.783,-0.538
-0.282, 0.082,-0.976, 0.041, 0.753,-0.525
-0.210, 0.063,-0.954, 0.065, 0.687,-0.522
-0.172, 0.090,-0.992, 0.146, 0.693,-0.499
-0.201, 0.099,-1.008, 0.112, 0.696,-0.425
-0.172, 0.136,-0.998, 0.082, 0.794,-0.377
-0.179, 0.138,-0.989, 0.131, 0.909,-0.333
-0.216, 0.131,-1.013, 0.265, 0.988,-0.325
-0.233, 0.152,-1.036, 0.346, 0.966,-0.352
-0.225, 0.150,-1.070, 0.317, 0.795,-0.393
-0.200, 0.113,-1.070, 0.261, 0.558,-0.377
-0.163, 0.082,-1.041, 0.252, 0.359,-0.314
-0.143, 0.119,-1.038, 0.256, 0.136,-0.178
-0.178, 0.072,-1.017, 0.383, 0.037, 0.000
-0.156, 0.122,-1.023, 0.549, 0.039, 0.093
-0.202, 0.133,-0.993, 0.719, 0.160, 0.061
-0.177, 0.165,-0.977, 0.811, 0.393,-0.141
-0.176, 0.143,-0.999, 0.855, 0.548,-0.229
-0.146, 0.121,-1.019, 0.829, 0.711,-0.313
-0.144, 0.102,-1.044, 0.752, 0.742,-0.303
-0.141, 0.078,-1.056, 0.678, 0.721,-0.294
-0.122, 0.063,-1.062, 0.674, 0.725,-0.215
-0.110, 0.074,-1.025, 0.720, 0.779,-0.158
-0.120, 0.076,-1.005, 0.764, 0.827,-0.166
-0.113, 0.043,-0.997, 0.817, 0.846,-0.147
-0.097, 0.042,-1.002, 0.790, 0.856,-0.126
-0.088, 0.007,-1.002, 0.730, 0.816,-0.095
-0.051,-0.011,-0.992, 0.711, 0.874,-0.090
-0.050,-0.013,-1.009, 0.710, 0.899,-0.109
-0.028,-0.005,-0.997, 0.668, 0.947,-0.170
-0.017,-0.022,-1.018, 0.650, 0.994,-0.214
-0.015,-0.037,-1.027, 0.568, 1.040,-0.211
 0.014,-0.044,-1.032, 0.504, 1.069,-0.204
 0.003,-0.107,-1.027, 0.469, 1.119,-0.140
 0.021,-0.009,-1.095, 0.352, 1.111,-0.136
 0.024,-0.027,-1.057, 0.335, 1.045,-0.151
 0.056,-0.062,-1.017, 0.328, 1.033,-0.136
 0.023,-0.081,-1.020, 0.398, 1.016,-0.040
 0.031,-0.164,-1.036, 0.571, 0.894, 0.062
 0.048,-0.004,-1.050, 0.536, 0.689,-0.008
 0.061,-0.055,-1.001, 0.460, 0.582, 0.000
 0.058,-0.074,-1.000, 0.337, 0.602, 0.090
 0.054,-0.038,-1.024, 0.118, 0.595, 0.126
 0.043,-0.040,-1.013,-0.011, 0.550, 0.106
 0.062,-0.054,-0.998,-0.121, 0.564, 0.062
 0.061,-0.049,-1.013,-0.152, 0.579, 0.030
 0.079,-0.062,-1.005,-0.160, 0.587,-0.016
 0.088,-0.067,-1.009,-0.139, 0.602,-0.071
 0.112,-0.084,-1.007,-0.119, 0.623,-0.090
 0.123,-0.089,-1.034,-0.151, 0.614,-0.094
 0.132,-0.089,-1.055,-0.243, 0.578,-0.078
 0.141,-0.079,-1.026,-0.341, 0.595,-0.083
 0.120,-0.024,-1.044,-0.417, 0.640,-0.133
 0.115,-0.023,-1.022,-0.381, 0.682,-0.209
 0.121,-0.048,-1.017,-0.307, 0.725,-0.228
 0.125,-0.055,-0.998,-0.145, 0.761,-0.294
 0.130,-0.057,-0.993,-0.053, 0.749,-0.312
 0.135,-0.041,-1.006,-0.044, 0.722,-0.307
 0.163,-0.021,-0.989,-0.059, 0.714,-0.301
 0.176,-0.042,-0.980,-0.035, 0.728,-0.273
 0.167,-0.064,-0.988,-0.004, 0.710,-0.228
 0.196,-0.072,-0.969, 0.161, 0.673,-0.218
 0.180,-0.066,-0.971, 0.291, 0.634,-0.230
 0.107, 0.139,-0.986, 0.140, 0.527,-0.252
 0.166, 0.148,-0.930,-0.039, 0.522,-0.062
 0.177, 0.048,-1.038,-0.105, 0.497, 0.191
 0.209, 0.096,-1.038,-0.268, 0.437, 0.292
 0.208, 0.047,-0.990,-0.453, 0.377, 0.254
 0.226, 0.000,-0.901,-0.525, 0.901,-0.093
 0.254, 0.047,-1.001,-0.683, 0.999,-0.527
 0.216,-0.045,-0.935,-0.766, 1.040,-0.564
 0.268,-0.053,-0.950,-0.713, 1.040,-0.533
 0.256,-0.059,-0.989,-0.576, 0.901,-0.381
 0.271,-0.072,-0.968,-0.369, 0.807,-0.248
 0.291,-0.074,-0.962,-0.165, 0.783,-0.145
 0.317,-0.063,-0.961, 0.007, 0.813,-0.074
 0.331,-0.035,-0.978, 0.142, 0.848,-0.050
 0.334, 0.004,-0.982, 0.188, 0.789,-0.078
 0.308, 0.055,-0.937, 0.031, 0.796,-0.132
 0.307, 0.060,-0.856,-0.220, 0.907,-0.177
 0.344,-0.035,-0.773,-0.495, 1.180,-0.181
 0.345, 0.057,-0.921,-0.814, 1.295,-0.170
 0.329, 0.064,-0.947,-0.916, 1.237,-0.182
 0.321, 0.029,-1.002,-0.723, 1.072,-0.141
 0.323,-0.017,-0.967,-0.383, 0.882,-0.028
 0.400,-0.014,-0.882,-0.148, 0.839, 0.104
 0.355, 0.048,-0.995,-0.163, 0.773, 0.197
 0.350, 0.109,-0.985,-0.127, 0.561, 0.090
 0.386, 0.113,-0.967,-0.080, 0.582,-0.018
 0.387, 0.075,-0.907,-0.060, 0.702,-0.104
 0.416, 0.052,-0.941,-0.027, 0.805,-0.177
 0.417, 0.038,-0.931, 0.023, 0.749,-0.219
 0.429, 0.005,-0.916, 0.074, 0.694,-0.174
 0.442, 0.015,-0.907, 0.074, 0.701,-0.135
 0.455, 0.047,-0.884,-0.043, 0.813,-0.114
 0.469, 0.033,-0.898,-0.382, 1.058,-0.029
 0.361,-0.074,-0.993,-0.979, 1.423, 0.274
 0.397, 0.012,-0.967,-1.525, 1.628, 0.414
 0.418, 0.109,-0.905,-1.667, 1.695, 0.417
 0.489, 0.185,-0.852,-1.594, 1.652, 0.340
 0.531, 0.184,-0.836,-1.376, 1.532, 0.210
 0.604, 0.175,-0.765,-1.078, 1.502, 0.092
 0.670, 0.181,-0.760,-0.880, 1.593, 0.031
 0.650, 0.172,-0.780,-0.805, 1.683,-0.018
 0.592, 0.113,-0.799,-0.736, 1.742,-0.099
 0.595, 0.150,-0.796,-0.721, 1.748,-0.234
 0.589, 0.149,-0.798,-0.793, 1.749,-0.325
 0.553, 0.017,-0.776,-0.535, 1.710,-0.359
 0.579, 0.105,-0.795,-0.192, 1.609,-0.238
 0.570, 0.131,-0.824,-0.029, 1.439,-0.154
 0.606, 0.149,-0.797,-0.027, 1.331,-0.091
 0.624, 0.183,-0.766,-0.015, 1.178,-0.079
 0.652, 0.146,-0.730, 0.115, 1.013,-0.025
