date,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
2022-02-09 20:17:10.056138,0.599961,0.085923,-0.946026,7.399384,229.093346,-1.724808,-0.062585,0.031292,-0.413507
2022-02-09 20:17:10.156316,0.889023,0.013414,-0.484356,34.735504,226.903709,14.144333,-0.063702,0.014529,-0.358745
2022-02-09 20:17:10.256424,1.055527,-0.020034,-0.147930,20.979706,249.707970,18.882187,-0.061467,0.030175,-0.314042
2022-02-09 20:17:10.356553,0.870957,-0.127944,0.321064,21.033112,190.534386,43.548019,-0.053644,0.064820,-0.277162
2022-02-09 20:17:10.456682,0.912949,-0.136000,0.859394,3.248993,249.707970,47.477158,-0.058115,0.100583,-0.241399
2022-02-09 20:17:10.556789,0.562119,-0.139174,0.913105,-25.521454,143.865379,-7.805435,-0.051409,0.138581,-0.241399
2022-02-09 20:17:10.656902,0.409043,-0.158950,1.068135,5.034271,120.939049,6.904037,-0.048056,0.170991,-0.240281
2022-02-09 20:17:10.757006,0.253769,-0.173842,1.011006,30.226532,133.153709,10.322006,-0.058115,0.192225,-0.257045
2022-02-09 20:17:10.857121,0.050644,-0.117202,0.980732,17.165009,16.423973,8.910568,-0.059232,0.206754,-0.258163
2022-02-09 20:17:10.957296,0.033554,-0.110122,1.040791,3.287140,11.388573,-0.847427,-0.053644,0.207871,-0.272691
2022-02-09 20:17:11.057440,-0.050430,-0.063002,0.920185,7.475677,27.082237,0.914963,-0.063702,0.204518,-0.258163
2022-02-09 20:17:11.157580,0.025986,-0.029067,1.112324,24.000946,-24.225441,3.531845,-0.075996,0.201166,-0.263751
2022-02-09 20:17:11.257744,0.015000,-0.023696,1.092549,1.669708,-15.405861,-2.594559,-0.067055,0.201166,-0.261515
2022-02-09 20:17:11.357890,0.162217,-0.021499,0.944844,4.103485,-41.567055,-10.361282,-0.070408,0.195578,-0.262633
2022-02-09 20:17:11.458044,0.079209,0.007798,0.860127,-9.087738,-49.967018,24.367722,-0.067055,0.183284,-0.261515
2022-02-09 20:17:11.558227,0.310898,0.034654,0.898945,56.601349,5.704674,-42.671768,-0.071526,0.169873,-0.261515
2022-02-09 20:17:11.658493,0.166123,-0.047133,0.815205,-53.170380,-32.404152,52.047165,-0.065938,0.179932,-0.271574
2022-02-09 20:17:11.758737,0.120224,-0.165542,0.968769,-27.169403,79.267296,-6.905167,-0.063702,0.173226,-0.264868
